PeakLeft,ActivationLeft,DeactivationLeft,PeakRight,ActivationRight,DeactivationRight,MeanLeft,MeanRight,Label
0.26,0.07,0.99,0.18,0,0.95,nan,inf,1
0.19,0,0.99,0.24,0.04,0.92,0,1,0
0.21,0.04,0.99,0.14,0,0.7,0.44,1,1
0.18,0,0.99,0.21,0.03,0.93,0,1,0
0.25,0.05,0.99,0.08,0,0.66,0.55,1,1
0.15,0,0.93,0.23,0.03,0.99,inf,nan,0
0.23,0.04,0.99,0.15,0,0.82,0.67,1,1
0.19,0,0.99,0.19,0.04,0.93,0,1,0
0.22,0.06,0.99,0.18,0,0.81,0.33,1,1
0.19,0,0.99,0.24,0.06,0.91,0,1,0
0.23,0.07,0.99,0.17,0,0.85,1,0,1
0.19,0,0.96,0.28,0.05,0.99,-0.29,1,0
0.21,0.05,0.99,0.2,0,0.93,nan,inf,1
0.17,0,0.94,0.29,0.06,0.99,-0.75,1,0
0.23,0.05,0.99,0.11,0,0.81,0.5,1,1
0.15,0,0.99,0.21,0.04,0.93,0,1,0
0.24,0.04,0.99,0.15,0,0.83,0.67,1,1
0.19,0,0.99,0.23,0.04,0.96,0,1,0
0.25,0.04,0.99,0.11,0,0.71,0.56,1,1
0.19,0,0.99,0.24,0.03,0.91,0,1,0
0.23,0.03,0.99,0.22,0,0.92,nan,nan,1
0.2,0,0.99,0.22,0.03,0.93,0,1,0
0.23,0.03,0.99,0.26,0,0.82,0.29,1,1
0.14,0,0.93,0.21,0.03,0.99,inf,nan,0
0.25,0.07,0.99,0.16,0,0.86,1,0,1
0.22,0,0.99,0.25,0.02,0.88,0.17,1,0
0.2,0.03,0.99,0.14,0,0.8,0.43,1,1
0.22,0,0.99,0.24,0.04,0.98,1,1,0
0.23,0.05,0.99,0.17,0,0.87,1,0,1
0.23,0,0.99,0.24,0.07,0.89,0.17,1,0
0.22,0.06,0.99,0.1,0,0.64,0.5,1,1
0.19,0,0.99,0.25,0.09,0.91,0,1,0
0.24,0.03,0.99,0.14,0,0.83,0.5,1,1
0.21,0,0.99,0.25,0.04,0.91,0,1,0
0.24,0.05,0.99,0.15,0,0.87,1,1,1
0.21,0,0.99,0.24,0.09,0.93,0,1,0
0.22,0.05,0.99,0.14,0,0.86,1,0,1
0.22,0,0.99,0.25,0.07,0.96,0,1,0
0.24,0.04,0.99,0.14,0,0.79,0.6,1,1
0.19,0,0.99,0.24,0.12,0.89,0.08,1,0
0.21,0.05,0.99,0.13,0,0.8,1,1,1
0.21,0,0.99,0.23,0.09,0.86,0.08,1,0
0.25,0.05,0.99,0.15,0,0.79,0.75,1,1
0.19,0,0.99,0.28,0.06,0.91,0,1,0
0.24,0.04,0.99,0.09,0,0.74,0.5,1,1
0.18,0,0.96,0.26,0.06,0.99,-3,1,0
0.22,0.04,0.99,0.13,0,0.81,0.5,1,1
0.21,0,0.94,0.22,0.04,0.99,3,1,0
0.24,0.04,0.99,0.16,0,0.9,nan,inf,1
0.21,0,0.99,0.28,0.13,0.96,-0.14,1,0
0.2,0.06,0.99,0.17,0,0.91,nan,inf,1
0.2,0,0.99,0.26,0.09,0.96,-0.17,1,0
0.24,0.05,0.99,0.19,0,0.86,1,0.5,1
0.22,0,0.99,0.25,0.12,0.84,0.14,1,0
0.26,0.03,0.99,0.19,0,0.88,1,0.5,1
0.22,0,0.99,0.28,0.12,0.92,0,1,0
0.21,0.05,0.99,0.18,0,0.87,1,0,1
0.18,0,0.96,0.25,0.03,0.99,inf,nan,0
0.21,0.03,0.99,0.17,0,0.91,nan,inf,1
0.2,0,0.99,0.21,0.03,0.91,0,1,0
0.25,0.07,0.99,0.14,0,0.84,1,0,1
0.22,0,0.92,0.25,0.08,0.99,inf,nan,0
0.21,0.03,0.99,0.17,0,0.83,0.67,1,1
0.2,0,0.99,0.24,0.08,0.91,0,1,0
0.21,0.03,0.99,0.15,0,0.89,nan,nan,1
0.19,0,0.99,0.26,0.1,0.98,-0.14,1,0
0.22,0.03,0.99,0.16,0,0.83,0.4,1,1
0.2,0,0.99,0.25,0.12,0.91,0,1,0
0.21,0.07,0.99,0.18,0,0.93,nan,inf,1
0.16,0,0.89,0.19,0.01,0.99,1,1.25,0
0.26,0.06,0.99,0.12,0,0.75,0.56,1,1
0.23,0,0.99,0.28,0.11,0.94,0,1,0
0.24,0.05,0.99,0.14,0,0.77,0.6,1,1
0.22,0,0.99,0.23,0.03,0.94,-0.25,1,0
0.24,0.05,0.99,0.16,0,0.85,1,0.5,1
0.2,0,0.94,0.25,0.01,0.99,3,1,0
0.24,0.07,0.99,0.14,0,0.79,1,0,1
0.19,0,0.99,0.24,0.11,0.85,0.07,1,0
0.23,0.04,0.99,0.16,0,0.89,nan,inf,1
0.17,0,0.99,0.26,0.09,0.95,0,1,0
0.23,0.04,0.99,0.25,0,0.96,nan,nan,1
0.17,0,0.94,0.32,0.07,0.99,-1,1,0
0.26,0.06,0.99,0.17,0,0.79,1,0.5,1
0.16,0,0.96,0.27,0.05,0.99,-3,1,0
0.28,0.07,0.99,0.12,0,0.73,1,0.75,1
0.2,0,0.99,0.24,0.09,0.96,-0.14,1,0
0.23,0.05,0.99,0.1,0,0.61,0.43,1,1
0.18,0,0.99,0.23,0.05,0.93,0,1,0
0.23,0.03,0.99,0.15,0,0.83,1,0,1
0.21,0,0.99,0.27,0.11,0.92,0,1,0
0.23,0.06,0.99,0.14,0,0.86,1,0,1
0.18,0,0.99,0.25,0.05,0.96,-0.17,1,0
0.23,0.04,0.99,0.12,0,0.74,0.5,1,1
0.17,0,0.91,0.21,0.04,0.99,1,1.25,0
0.26,0.06,0.99,0.17,0,0.94,nan,inf,1
0.2,0,0.99,0.25,0.14,0.85,0.13,1,0
0.22,0.05,0.99,0.18,0,0.89,nan,nan,1
0.18,0,0.96,0.27,0.1,0.99,-0.4,1,0
0.23,0.03,0.99,0.1,0,0.81,0.6,1,1
0.19,0,0.99,0.26,0.1,0.94,0,1,0
0.24,0.09,0.99,0.17,0,0.91,nan,inf,1
0.19,0,0.96,0.21,0.01,0.99,1,1.33,0
0.24,0.06,0.99,0.11,0,0.7,0.5,1,1
0.19,0,0.99,0.2,0.04,0.99,inf,nan,0
0.21,0.03,0.99,0.16,0,0.85,0.4,1,1
0.18,0,0.99,0.24,0.05,0.93,0,1,0
0.22,0,0.99,0.2,0.02,0.95,1,1,1
0.17,0,0.98,0.23,0.04,0.99,-3,1,0
0.2,0.04,0.99,0.17,0,0.83,0.33,1,1
0.17,0,0.98,0.23,0.03,0.99,inf,nan,0
0.21,0.03,0.99,0.09,0,0.67,0.4,1,1
0.18,0,0.98,0.27,0.09,0.99,-0.5,1,0
0.23,0.05,0.99,0.14,0,0.75,0.75,1,1
0.21,0,0.99,0.23,0.03,0.96,0,1,0
0.21,0.04,0.99,0.18,0,0.91,nan,inf,1
0.2,0,0.99,0.27,0.11,0.96,0,1,0
0.26,0.06,0.99,0.15,0,0.81,1,0.5,1
0.22,0,0.99,0.27,0.1,0.9,0.09,1,0
0.26,0.06,0.99,0.19,0,0.92,nan,inf,1
0.19,0,0.95,0.23,0.03,0.99,1.5,1,0
0.28,0.11,0.99,0.19,0,0.91,nan,inf,1
0.24,0,0.99,0.26,0.07,0.94,0,1,0
0.24,0.03,0.98,0.2,0,0.99,1,3,1
0.18,0,0.99,0.25,0.12,0.85,0.14,1,0
0.25,0.06,0.99,0.17,0,0.94,nan,inf,1
0.2,0,0.99,0.28,0.11,0.92,0,1,0
0.21,0.05,0.99,0.16,0,0.87,1,0,1
0.2,0,0.99,0.23,0.08,0.87,0,1,0
0.21,0.05,0.99,0.14,0,0.84,0.25,1,1
0.19,0,0.99,0.24,0.11,0.87,0.08,1,0
0.22,0.05,0.99,0.21,0,0.93,nan,inf,1
0.14,0,0.93,0.24,0.07,0.99,4,1,0
0.22,0.05,0.99,0.17,0,0.95,nan,inf,1
0.2,0,0.99,0.22,0.02,0.9,0,1,0
0.23,0.05,0.99,0.16,0,0.82,1,1,1
0.15,0,0.99,0.22,0.07,0.96,-0.2,1,0
0.26,0.07,0.99,0.2,0,0.86,1,0.5,1
0.17,0,0.98,0.32,0.13,0.99,-0.14,1,0
0.28,0.09,0.99,0.11,0,0.72,1,0.5,1
0.19,0,0.99,0.22,0.06,0.92,0,1,0
0.22,0.03,0.99,0.19,0,0.99,1,2,1
0.19,0,0.99,0.25,0.08,0.9,0,1,0
0.23,0.03,0.99,0.17,0,0.98,1,5,1
0.22,0,0.99,0.23,0.05,0.92,0,1,0
0.24,0.08,0.99,0.18,0,0.89,nan,inf,1
0.2,0,0.99,0.26,0.06,0.96,-0.17,1,0
0.26,0.04,0.99,0.21,0,0.89,nan,inf,1
0.21,0,0.99,0.24,0.1,0.91,0,1,0
0.23,0.03,0.99,0.15,0,0.87,0.4,1,1
0.18,0,0.93,0.18,0.05,0.99,inf,nan,0
0.21,0.03,0.99,0.15,0,0.7,0.36,1,1
0.18,0,0.93,0.27,0.09,0.99,-2,1,0
0.23,0.08,0.99,0.14,0,0.89,nan,inf,1
0.21,0,0.99,0.24,0.12,0.87,0.07,1,0
0.2,0.04,0.99,0.17,0,0.91,nan,nan,1
0.2,0,0.99,0.24,0.01,0.93,0,1,0
0.21,0.03,0.99,0.1,0,0.62,0.42,1,1
0.2,0,0.99,0.22,0.05,0.9,0,1,0
0.19,0.03,0.99,0.08,0,0.65,0.31,1,1
0.16,0,0.99,0.23,0.03,0.99,inf,nan,0
0.21,0.01,0.99,0.2,0,0.96,nan,inf,1
0.17,0,0.95,0.23,0.07,0.99,inf,nan,0
0.27,0.05,0.99,0.13,0,0.74,0.57,1,1
0.21,0,0.99,0.27,0.11,0.94,0,1,0
0.23,0.02,0.99,0.11,0,0.82,0.5,1,1
0.21,0,0.99,0.23,0.12,0.88,0.08,1,0
0.23,0.03,0.99,0.17,0,0.93,nan,inf,1
0.22,0,0.99,0.29,0.11,0.91,0,1,0
0.24,0.05,0.99,0.15,0,0.74,0.5,1,1
0.2,0,0.99,0.28,0.13,0.94,0,1,0
0.25,0.03,0.99,0.19,0,0.94,nan,inf,1
0.18,0,0.99,0.27,0.03,0.92,0,1,0
0.24,0.06,0.99,0.23,0,0.91,nan,nan,1
0.21,0,0.99,0.23,0.12,0.89,0.07,1,0
0.24,0.03,0.99,0.16,0,0.87,1,1,1
0.16,0,0.99,0.23,0.08,0.93,-0.17,1,0
0.2,0.03,0.99,0.18,0,0.9,0,1,1
0.18,0,0.99,0.23,0.08,0.98,-0.2,1,0
0.2,0.01,0.99,0.12,0,0.73,0.36,1,1
0.18,0,0.99,0.32,0.02,0.96,0,1,0
0.21,0,0.99,0.13,0.01,0.71,0.36,1,1
0.19,0,0.99,0.28,0.1,0.88,0.07,1,0
0.27,0.07,0.99,0.11,0,0.7,0.71,1,1
0.17,0,0.96,0.22,0.05,0.99,inf,nan,0
0.27,0.1,0.99,0.22,0,0.83,1,0,1
0.14,0,0.99,0.19,0.01,0.93,0,1,0
0.09,-0.09,-0.09,0,0,0.91,1,1,1
0.18,0,0.99,0.14,0.01,0.78,0.2,1,0
0.21,0.05,0.99,0.17,0,0.92,nan,inf,1
0.19,0,0.99,0.31,0.1,0.98,-0.17,1,0
0.23,0.05,0.99,0.09,0,0.59,0.43,1,1
0.19,0,0.99,0.24,0.14,0.77,0.16,1,0
0.2,0.03,0.99,0.12,0,0.83,0.5,1,1
0.18,0,0.99,0.23,0.12,0.79,0.16,1,0
0.22,0.06,0.99,0.16,0,0.93,nan,inf,1
0.17,0,0.99,0.24,0.07,0.99,-0.4,1,0
0.17,0.04,0.99,0.11,0,0.76,0.4,1,1
0.2,0,0.99,0.28,0.15,0.9,0,1,0
0.22,0.05,0.99,0.19,0,0.83,0.67,1,1
0.19,0,0.99,0.31,0.09,0.92,0,1,0
0.22,0.03,0.99,0.17,0,0.85,0.5,1,1
0.15,0,0.99,0.21,0.11,0.84,0.08,1,0
0.21,0.01,0.99,0.15,0,0.82,0.25,1,1
0.18,0,0.99,0.22,0.08,0.88,0,1,0
0.23,0.04,0.99,0.15,0,0.83,0.67,1,1
0.18,0,0.99,0.3,0.05,0.98,-0.4,1,0
0.22,0.05,0.99,0.16,0,0.84,1,1,1
0.21,0,0.99,0.25,0.05,0.94,0,1,0
0.24,0.04,0.99,0.19,0,0.88,1,0,1
0.18,0,0.99,0.22,0.05,0.96,-0.2,1,0
0.26,0.05,0.99,0.19,0,0.84,0.67,1,1
0.19,0,0.99,0.26,0.11,0.93,0,1,0
0.23,0.1,0.98,0.21,0,0.99,1,2.67,1
0.18,0,0.99,0.23,0.05,0.92,0,1,0
0.2,0.01,0.99,0.14,0,0.76,0.33,1,1
0.16,0,0.98,0.2,0.06,0.99,inf,nan,0
0.21,0.01,0.99,0.11,0,0.88,0,1,1
0.17,0,0.99,0.18,0.09,0.8,0.13,1,0
0.19,0,0.99,0.16,0.01,0.83,0.33,1,1
0.17,0,0.99,0.2,0.06,0.95,-0.33,1,0
0.25,0.04,0.99,0.2,0,0.88,1,0,1
0.19,0,0.99,0.26,0.05,0.88,0.08,1,0
0.24,0.03,0.99,0.19,0,0.86,0.5,1,1
0.17,0,0.99,0.25,0.06,0.82,0.2,1,0
0.22,0.05,0.99,0.19,0,0.93,nan,inf,1
0.2,0,0.99,0.27,0.11,0.88,0.07,1,0
0.22,0,0.99,0.14,0.01,0.76,0.37,1,1
0.13,0,0.99,0.22,0.07,0.99,-0.67,1,0
0.21,0.05,0.99,0.14,0,0.92,nan,inf,1
0.22,0,0.99,0.24,0.11,0.85,0.13,1,0
0.19,0.01,0.99,0.12,0,0.81,0.2,1,1
0.21,0,0.99,0.24,0.1,0.84,0.08,1,0
0.24,0.05,0.99,0.21,0,0.96,nan,inf,1
0.2,0,0.99,0.22,0.06,0.84,0.13,1,0
0.22,0.05,0.99,0.18,0,0.95,1,5,1
0.15,0,0.99,0.18,0.01,0.94,0,1,0
0.23,0.06,0.99,0.15,0,0.8,0.67,1,1
0.19,0,0.99,0.26,0.11,0.96,0,1,0
0.22,0.03,0.99,0.14,0,0.83,0.5,1,1
0.21,0,0.99,0.25,0.11,0.92,0,1,0
0.18,0.05,0.99,0.14,0,0.77,0.33,1,1
0.18,0,0.99,0.26,0.09,0.88,0.07,1,0
0.22,0.04,0.99,0.16,0,0.9,nan,inf,1
0.19,0,0.99,0.26,0.12,0.92,0,1,0
0.22,0.05,0.99,0.19,0,0.94,nan,inf,1
0.18,0,0.99,0.26,0.09,0.92,0,1,0
0.22,0.01,0.99,0.13,0,0.79,0.43,1,1
0.16,0,0.98,0.24,0.08,0.99,-0.67,1,0
0.21,0.04,0.99,0.14,0,0.76,0.43,1,1
0.17,0,0.99,0.24,0.09,0.92,0,1,0
0.23,0.05,0.99,0.25,0,0.96,nan,inf,1
0.15,0,0.99,0.28,0.05,0.96,-0.33,1,0
0.23,0.03,0.99,0.09,0,0.66,0.43,1,1
0.18,0,0.99,0.23,0.09,0.89,0,1,0
0.2,0.04,0.99,0.12,0,0.78,0.33,1,1
0.15,0,0.99,0.22,0.08,0.99,-0.25,1,0
0.23,0.1,0.91,0.2,0,0.99,1,3,1
0.18,0,0.99,0.24,0.07,0.91,0,1,0
0.2,0.01,0.99,0.19,0,0.91,nan,nan,1
0.18,0,0.99,0.3,0.1,0.89,0,1,0
0.21,0.06,0.99,0.16,0,0.79,1,1,1
0.16,0,0.99,0.26,0.06,0.94,-0.33,1,0
0.24,0.03,0.99,0.13,0,0.82,0.5,1,1
0.18,0,0.99,0.26,0.05,0.89,0,1,0
0.24,0.05,0.99,0.2,0,0.96,nan,inf,1
0.16,0,0.99,0.21,0.07,0.98,-0.25,1,0
0.25,0.05,0.99,0.17,0,0.83,0.67,1,1
0.18,0,0.99,0.26,0.09,0.98,-0.5,1,0
0.22,0.04,0.99,0.16,0,0.79,0.5,1,1
0.21,0,0.99,0.25,0.11,0.87,0.08,1,0
0.24,0.03,0.99,0.12,0,0.75,0.67,1,1
0.19,0,0.99,0.27,0.07,0.91,0,1,0
0.22,0.03,0.99,0.19,0,0.98,1,3,1
0.16,0,0.99,0.25,0.11,0.92,0,1,0
0.18,0,0.99,0.17,0.01,0.9,0,1,1
0.21,0,0.99,0.19,0.1,0.77,0.17,1,0
0.22,0.04,0.99,0.18,0,0.93,nan,nan,1
0.19,0,0.99,0.25,0.1,0.96,0,1,0
0.24,0.05,0.99,0.11,0,0.61,0.5,1,1
0.17,0,0.99,0.22,0.08,0.89,0.08,1,0
0.23,0.05,0.99,0.12,0,0.74,0.5,1,1
0.23,0,0.98,0.26,0.08,0.99,-1,1,0
0.23,0.03,0.99,0.16,0,0.59,0.37,1,1
0.17,0,0.98,0.25,0.09,0.99,-0.67,1,0
0.23,0.03,0.99,0.13,0,0.86,1,1,1
0.15,0,0.89,0.23,0.06,0.99,1.33,1,0
0.22,0.06,0.99,0.16,0,0.87,1,1,1
0.18,0,0.99,0.3,0.1,0.98,-0.2,1,0
0.2,0.05,0.99,0.16,0,0.88,nan,nan,1
0.18,0,0.99,0.25,0.1,0.93,0,1,0
0.25,0.01,0.99,0.22,0,0.92,nan,inf,1
0.18,0,0.99,0.28,0.1,0.92,0,1,0
0.25,0.07,0.99,0.2,0,0.89,nan,inf,1
0.2,0,0.99,0.27,0.13,0.88,0,1,0
0.24,0.1,0.99,0.16,0,0.79,1,0.5,1
0.19,0,0.99,0.29,0.11,0.96,0,1,0
0.22,0.03,0.99,0.17,0,0.99,1,2.5,1
0.2,0,0.99,0.28,0.11,0.99,-0.4,1,0
0.22,0.05,0.99,0.14,0,0.81,0.67,1,1
0.19,0,0.99,0.23,0.09,0.89,0,1,0
0.24,0.1,0.99,0.17,0,0.95,nan,inf,1
0.18,0,0.99,0.29,0.09,0.96,-0.14,1,0
0.19,0.01,0.99,0.18,0,0.91,0,1,1
0.18,0,0.99,0.23,0.09,0.87,0.08,1,0
0.25,0.03,0.99,0.16,0,0.87,1,0,1
0.17,0,0.99,0.23,0.11,0.91,0,1,0
0.22,0.02,0.99,0.21,0,0.99,1,3,1
0.18,0,0.99,0.25,0.07,0.96,-0.2,1,0
0.21,0.01,0.99,0.16,0,0.88,0,1,1
0.18,0,0.99,0.28,0.07,0.99,-1,1,0
